entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2024.02.05 02:19,346,20,4,sell,2036.28,2038.06,250.0,-130.5,-0.522,sl 2037.17,0.636
2024.03.21 03:26,359,21,11,sell,2200.15,2202.17,246.74,489.77,1.985,tp 2196.11,0.231
2024.04.08 03:16,374,19,1,sell,2307.26,2310.10,258.98,-133.38,-0.515,sl 2308.68,1.000
2024.05.20 03:29,386,21,14,buy,2420.85,2418.41,255.65,507.72,1.986,tp 2425.73,0.085
2024.06.10 03:17,363,21,2,sell,2295.38,2297.93,268.34,-138.2,-0.515,sl 2296.66,0.904
2024.06.17 03:17,342,29,2,sell,2325.33,2327.18,264.89,-269.65,-1.018,sl 2327.18,0.678
2024.08.05 03:17,1077,24,2,sell,2426.00,2435.64,258.14,-130.88,-0.507,sl 2430.82,0.519
2024.08.06 03:20,526,18,5,buy,2410.35,2407.21,254.87,509.49,1.999,tp 2416.63,0.941
2024.11.26 02:21,526,22,6,buy,2615.21,2611.23,267.61,535.49,2.001,tp 2623.17,0.342
2024.12.09 02:25,597,27,10,sell,2633.86,2637.05,281.0,-144.15,-0.513,sl 2635.46,0.595
2025.02.03 02:24,432,32,9,sell,2790.96,2793.59,277.39,-281.55,-1.015,sl 2793.59,0.498
2025.02.17 02:22,849,26,7,buy,2888.06,2883.40,270.35,-298.74,-1.105,sl 2883.40,0.767
2025.02.26 02:16,596,29,1,buy,2926.15,2921.51,262.89,-136.7,-0.520,sl 2923.83,0.978
2025.03.20 03:24,437,26,9,buy,3054.90,3052.15,259.47,-271.14,-1.045,sl 3052.15,0.474
2025.03.31 03:28,516,30,13,sell,3083.45,3087.01,252.69,-129.38,-0.512,sl 3085.23,0.457
2025.04.03 03:18,1553,25,3,sell,3148.96,3157.04,249.45,-126.47,-0.507,sl 3153.00,0.927
2025.04.08 03:24,669,27,9,buy,2988.02,2983.70,246.29,-126.1,-0.512,sl 2985.86,0.729
2025.04.10 03:20,708,31,5,buy,3089.92,3084.66,243.14,484.34,1.992,tp 3100.44,0.811
2025.04.16 03:29,1015,27,14,buy,3262.42,3256.68,255.25,510.24,1.999,tp 3273.90,0.415
2025.04.23 03:17,834,27,2,buy,3344.14,3338.83,268.0,-270.95,-1.011,sl 3338.83,1.000
2025.04.24 03:18,814,26,3,buy,3322.54,3317.43,261.23,522.72,2.001,tp 3332.76,0.999
2025.04.29 03:26,489,24,11,sell,3332.79,3335.64,274.3,-149.77,-0.546,sl 3334.22,0.094
2025.05.01 03:20,673,30,5,sell,3268.61,3272.80,270.56,556.8,2.058,tp 3260.23,0.137
2025.05.07 03:17,998,24,2,sell,3390.19,3396.41,284.48,568.1,1.997,tp 3377.75,0.916
2025.05.08 03:16,481,31,1,buy,3379.45,3376.20,298.68,594.97,1.992,tp 3385.95,0.971
2025.05.12 03:21,817,31,6,sell,3280.53,3285.80,313.55,-319.82,-1.020,sl 3285.80,0.304
2025.05.14 03:20,1075,29,5,sell,3243.03,3249.15,305.56,-309.83,-1.014,sl 3249.15,0.871
2025.05.19 03:18,1432,32,3,buy,3249.97,3240.62,297.81,-300.19,-1.008,sl 3240.62,0.838
2025.05.21 03:28,738,26,13,buy,3296.77,3292.60,290.31,581.48,2.003,tp 3305.11,0.760
2025.05.22 03:29,583,26,14,sell,3320.10,3323.03,304.84,-309.72,-1.016,sl 3323.03,0.393
2025.05.26 03:16,1081,32,1,sell,3334.48,3340.69,297.1,-302.15,-1.017,sl 3340.69,0.850
2025.05.27 03:21,513,32,6,sell,3344.26,3346.88,289.55,-295.92,-1.022,sl 3346.88,0.019
2025.05.29 03:17,846,32,2,sell,3255.17,3260.56,282.15,-286.1,-1.014,sl 3260.56,0.492
2025.06.03 03:18,821,27,3,sell,3379.79,3384.48,275.0,548.89,1.996,tp 3370.41,0.800
2025.06.09 03:16,775,33,1,sell,3309.01,3314.68,288.72,-148.11,-0.513,sl 3311.85,0.879
2025.06.10 03:29,685,34,14,sell,3319.51,3323.33,285.01,568.03,1.993,tp 3311.87,0.485
2025.06.11 03:17,536,34,2,buy,3331.43,3327.61,299.22,84.08,0.281,,0.629
2025.06.12 03:28,496,32,13,buy,3369.12,3364.62,301.32,-312.47,-1.037,sl 3364.62,0.575
2025.06.16 03:18,875,29,3,buy,3446.86,3441.44,293.51,-150.57,-0.513,sl 3444.15,0.957
2025.06.18 03:17,548,30,2,sell,3383.07,3386.04,289.74,-294.38,-1.016,sl 3386.04,0.932
