entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2026.06.02 09:31,1777,44,1,buy,4535.50,4524.94,1066.56,-1085.09,-1.017,sl 4524.94,0.956
2026.06.05 09:37,1943,41,7,buy,4449.85,4438.44,1038.31,1190.07,1.146,,0.706
2026.06.22 09:45,1144,44,15,buy,4202.52,4194.96,1073.52,-1098.91,-1.024,sl 4194.96,0.639
2026.06.26 09:33,1899,49,3,buy,4025.65,4015.14,1040.49,2213.98,2.128,,0.975
2026.06.30 09:31,3815,42,1,buy,4014.29,3994.07,1091.88,98.48,0.090,,0.968
2026.07.07 09:41,1294,48,11,buy,4131.78,4122.97,1101.25,-1110.98,-1.009,sl 4122.97,0.782
2026.07.09 09:33,3837,42,3,buy,4104.32,4083.84,1085.44,172.39,0.159,,0.977
2026.07.17 09:34,2759,37,4,buy,4007.20,3992.08,1073.52,-1081.75,-1.008,sl 3992.08,0.920
2026.07.21 09:38,1978,45,8,buy,4074.77,4064.43,1054.68,-1064.57,-1.009,sl 4064.43,0.897
2026.07.27 09:36,1209,45,6,buy,4097.76,4090.33,1025.34,-1034.63,-1.009,sl 4090.33,0.963
2026.07.28 09:32,1403,44,2,buy,4049.46,4041.79,997.10,-1010.97,-1.014,sl 4041.79,0.905
2026.07.29 09:34,1327,40,4,buy,4043.95,4036.25,977.90,-987.63,-1.010,sl 4036.25,0.842
2026.08.05 09:36,3447,45,6,buy,4175.82,4156.91,945.50,-961.41,-1.017,sl 4156.91,0.838
2026.08.07 09:38,2516,43,8,buy,4292.86,4278.50,933.40,850.84,0.912,,0.685
2026.08.10 09:44,2044,45,14,buy,4354.58,4341.77,947.94,-955.41,-1.008,sl 4341.77,0.811
2026.08.21 09:33,2904,37,3,buy,4559.71,4543.54,921.69,1344.40,1.459,,0.908
2026.08.28 09:32,1392,41,2,buy,4585.85,4578.44,955.89,2863.24,2.995,tp 4608.08,0.961
