entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2026.01.05 15:51,1791,25,6,buy,4414.87,4405.18,251.94,503.57,1.999,tp 4434.25,0.891
2026.01.06 15:54,646,32,9,buy,4463.64,4458.98,260.96,521.78,1.999,tp 4472.96,0.837
2026.01.07 15:57,1254,31,12,buy,4452.71,4444.34,276.21,-283.88,-1.028,sl 4444.34,0.580
2026.01.08 15:57,978,31,12,sell,4424.65,4430.72,267.08,-140.00,-0.524,sl 4427.69,0.241
2026.01.12 15:51,837,27,6,buy,4615.97,4609.03,263.72,-140.40,-0.532,sl 4612.50,0.496
2026.01.15 15:48,1738,31,3,sell,4585.24,4596.87,255.86,-257.50,-1.006,sl 4596.87,0.898
2026.01.19 15:54,727,29,9,sell,4665.98,4670.06,257.04,-137.68,-0.536,sl 4668.02,0.740
2026.01.20 15:51,1496,26,6,buy,4731.50,4722.83,251.43,501.23,1.994,tp 4748.84,0.963
2026.01.21 16:00,1178,32,15,buy,4879.72,4873.08,265.60,-282.33,-1.063,sl 4873.08,0.851
2026.02.03 15:48,1321,51,3,buy,4950.07,4935.29,251.26,-252.78,-1.006,sl 4935.29,0.975
2026.02.04 15:57,2567,37,12,buy,5060.93,5045.90,255.51,-260.96,-1.021,sl 5045.90,0.142
2026.02.12 15:48,1617,46,3,buy,5079.17,5069.00,244.08,-247.22,-1.013,sl 5069.00,0.899
2026.02.16 15:48,598,42,3,sell,4989.64,4995.56,236.80,-257.20,-1.086,sl 4995.56,0.570
2026.02.17 15:57,1474,40,12,sell,4897.65,4915.10,226.85,473.09,2.085,tp 4862.75,0.060
2026.02.18 15:54,1683,35,9,sell,4950.76,4960.62,246.50,-250.24,-1.015,sl 4960.62,0.777
2026.02.19 15:57,2446,40,12,buy,4997.97,4984.82,236.70,-241.38,-1.020,sl 4984.82,0.857
2026.02.23 16:00,670,35,15,sell,5146.16,5150.61,231.40,-124.38,-0.538,sl 5148.39,0.143
2026.02.24 15:51,2526,47,6,sell,5125.18,5145.87,227.59,-119.70,-0.526,sl 5135.53,0.513
2026.03.02 15:54,2432,86,9,sell,5390.02,5404.23,227.36,456.72,2.009,tp 5361.60,0.963
2026.03.03 15:48,3835,76,3,sell,5132.16,5166.48,240.24,-241.02,-1.003,sl 5166.48,0.780
2026.03.04 15:57,1105,72,12,sell,5173.18,5187.25,225.12,-115.40,-0.513,sl 5180.22,0.414
2026.03.09 16:54,3678,63,9,sell,5070.51,5092.70,221.90,-227.71,-1.026,sl 5092.70,0.948
2026.03.10 16:48,1495,63,3,sell,5198.70,5214.63,223.02,-225.30,-1.010,sl 5214.63,0.862
2026.03.11 16:48,1630,63,3,sell,5163.75,5173.24,218.27,-112.06,-0.513,sl 5168.50,0.991
2026.03.12 16:48,1556,62,3,sell,5153.73,5163.30,210.54,-108.06,-0.513,sl 5158.52,0.778
2026.03.17 16:54,2025,63,9,sell,5008.68,5021.07,210.63,9.17,0.044,,0.214
2026.03.19 16:48,3637,64,3,sell,4542.25,4564.40,221.50,-223.14,-1.007,sl 4564.40,0.649
2026.03.23 16:54,4940,55,9,buy,4463.50,4426.13,186.85,-97.82,-0.524,sl 4444.82,0.438
