entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2026.01.05 15:51,1791,25,6,buy,4414.87,4405.18,251.94,503.57,1.999,tp 4434.25,0.891
2026.01.06 15:54,646,32,9,buy,4463.64,4458.98,260.96,521.78,1.999,tp 4472.96,0.837
2026.01.07 15:57,1254,31,12,buy,4452.71,4444.34,276.21,-283.88,-1.028,sl 4444.34,0.580
2026.01.15 15:48,1738,31,3,sell,4585.24,4596.87,267.49,-269.20,-1.006,sl 4596.87,0.898
2026.01.19 15:54,727,29,9,sell,4665.98,4670.06,261.12,-139.86,-0.536,sl 4668.02,0.740
2026.01.20 15:51,1496,26,6,buy,4731.50,4722.83,260.10,518.51,1.994,tp 4748.84,0.963
2026.01.21 16:00,1178,32,15,buy,4879.72,4873.08,272.24,-289.39,-1.063,sl 4873.08,0.851
2026.02.03 15:48,1321,51,3,buy,4950.07,4935.29,266.04,-267.64,-1.006,sl 4935.29,0.975
2026.02.12 15:48,1617,46,3,buy,5079.17,5069.00,254.25,-257.53,-1.013,sl 5069.00,0.899
2026.02.16 15:48,598,42,3,sell,4989.64,4995.56,248.64,-270.06,-1.086,sl 4995.56,0.570
2026.02.18 15:54,1683,35,9,sell,4950.76,4960.62,246.50,-250.24,-1.015,sl 4960.62,0.777
2026.02.19 15:57,2446,40,12,buy,4997.97,4984.82,236.70,-241.38,-1.020,sl 4984.82,0.857
2026.02.24 15:51,2526,47,6,sell,5125.18,5145.87,227.59,-119.70,-0.526,sl 5135.53,0.513
2026.03.02 15:54,2432,86,9,sell,5390.02,5404.23,227.36,456.72,2.009,tp 5361.60,0.963
2026.03.03 15:48,3835,76,3,sell,5132.16,5166.48,240.24,-241.02,-1.003,sl 5166.48,0.780
2026.03.09 16:54,3678,63,9,sell,5070.51,5092.70,244.09,-250.48,-1.026,sl 5092.70,0.948
2026.03.10 16:48,1495,63,3,sell,5198.70,5214.63,223.02,-225.30,-1.010,sl 5214.63,0.862
2026.03.11 16:48,1630,63,3,sell,5163.75,5173.24,218.27,-112.06,-0.513,sl 5168.50,0.991
2026.03.12 16:48,1556,62,3,sell,5153.73,5163.30,220.11,-112.98,-0.513,sl 5158.52,0.778
2026.03.19 16:48,3637,64,3,sell,4542.25,4564.40,221.50,-223.14,-1.007,sl 4564.40,0.649
2026.03.25 16:48,1982,63,3,sell,4554.73,4566.38,209.70,-106.08,-0.506,sl 4560.56,0.778
2026.03.26 16:48,2428,67,3,buy,4458.78,4441.18,211.20,-212.78,-1.007,sl 4441.18,1.000
2026.03.30 16:51,3053,63,6,sell,4535.14,4558.35,208.89,13.19,0.063,,0.969
2026.03.31 16:51,2100,63,6,buy,4592.33,4578.66,205.05,416.03,2.029,tp 4619.67,0.926
2026.04.02 16:48,2122,54,3,buy,4620.61,4596.58,216.27,440.42,2.036,tp 4668.67,0.751
2026.04.13 16:48,1290,55,3,sell,4723.06,4730.81,224.75,-231.31,-1.029,sl 4730.81,0.817
2026.04.16 16:48,1128,58,3,sell,4811.86,4818.09,218.05,452.29,2.074,tp 4799.40,0.676
2026.04.22 16:48,1447,58,3,buy,4758.91,4749.13,234.72,-236.32,-1.007,sl 4749.13,0.918
