entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2026.01.05 02:18,957,32,3,buy,4380.36,4374.95,248.86,506.86,2.037,tp 4391.18,0.819
2026.01.06 02:16,518,28,1,buy,4442.13,4439.09,261.44,-140.36,-0.537,sl 4440.61,0.757
2026.01.08 02:16,336,25,1,buy,4466.12,4464.13,218.90,-226.88,-1.036,sl 4464.13,0.935
2026.01.12 02:17,1797,36,2,buy,4556.79,4545.29,253.00,508.55,2.010,tp 4579.79,0.962
2026.01.13 02:23,739,35,8,sell,4591.84,4595.67,268.10,545.70,2.035,tp 4584.18,0.873
2026.01.14 02:27,1078,35,12,buy,4609.56,4602.28,276.64,363.86,1.315,,0.766
2026.01.19 02:17,1083,30,2,sell,4664.67,4670.52,286.65,-294.75,-1.028,sl 4670.52,0.969
2026.01.20 02:18,367,25,3,buy,4667.89,4666.02,213.18,-227.46,-1.067,sl 4666.02,1.000
2026.01.21 02:28,692,36,13,buy,4779.53,4774.14,274.89,547.38,1.991,tp 4790.31,0.840
2026.01.26 02:20,929,39,5,sell,5033.53,5039.05,287.04,-291.22,-1.015,sl 5039.05,0.491
2026.02.02 02:16,10523,49,1,buy,4854.88,4793.34,307.70,-312.14,-1.014,sl 4793.34,0.996
2026.02.03 02:16,3021,63,1,buy,4797.87,4781.06,268.96,-145.56,-0.541,sl 4789.47,0.691
2026.02.04 02:16,4125,63,1,buy,4988.66,4966.86,261.60,522.48,1.997,tp 5032.26,0.980
2026.02.11 02:17,1364,60,2,sell,5029.29,5037.54,280.50,-290.04,-1.034,sl 5037.54,0.756
2026.02.17 02:26,1569,46,11,sell,4974.18,4983.33,274.50,606.02,2.208,tp 4955.88,0.765
2026.02.18 02:25,1112,35,10,buy,4870.27,4863.82,290.25,578.33,1.993,tp 4883.17,0.531
2026.02.23 02:20,3396,43,5,sell,5131.23,5149.53,311.10,-316.91,-1.019,sl 5149.53,0.828
2026.02.24 02:22,1728,52,7,buy,5237.49,5226.88,297.08,-301.09,-1.013,sl 5226.88,0.666
2026.02.26 02:16,1386,58,1,buy,5171.22,5162.25,287.04,571.76,1.992,tp 5189.16,0.870
2026.03.02 02:19,2347,96,4,sell,5360.62,5375.84,304.40,-154.10,-0.506,sl 5368.23,0.502
2026.03.03 02:17,1255,97,2,buy,5352.78,5342.90,296.40,-179.54,-0.606,sl 5347.84,0.916
2026.03.04 02:20,1972,77,5,buy,5126.62,5115.69,295.11,-298.67,-1.012,sl 5115.69,0.492
2026.03.05 02:17,1330,63,2,buy,5173.24,5165.87,287.43,-149.07,-0.519,sl 5169.56,0.881
2026.03.10 03:26,1042,64,11,sell,5130.25,5135.84,285.09,-146.97,-0.516,sl 5133.05,0.419
2026.03.11 03:19,1143,68,4,buy,5202.93,5192.32,286.47,345.52,1.206,,0.514
2026.03.12 03:16,1654,66,1,buy,5143.61,5133.73,286.52,574.14,2.004,tp 5163.37,0.791
2026.03.17 03:28,1182,68,13,sell,5001.30,5008.01,301.95,-157.06,-0.520,sl 5004.66,0.643
2026.03.23 03:16,4787,68,1,sell,4415.17,4449.12,305.55,613.25,2.007,tp 4347.27,0.767
2026.03.24 03:16,2596,68,1,sell,4418.43,4433.34,313.11,628.28,2.007,tp 4388.61,0.939
2026.03.25 03:28,1752,64,13,buy,4557.19,4545.99,336.00,670.08,1.994,tp 4579.59,0.740
2026.03.26 03:16,2961,68,1,buy,4528.83,4512.79,352.88,44.36,0.126,,0.996
2026.03.30 03:21,3297,114,6,buy,4454.53,4434.66,357.66,-180.76,-0.505,sl 4444.60,0.249
2026.03.31 03:16,1758,68,1,sell,4510.07,4519.22,347.70,840.07,2.416,tp 4491.77,0.688
2026.04.01 03:16,1157,64,1,buy,4705.60,4699.10,364.00,747.27,2.053,tp 4718.60,0.862
2026.04.02 03:16,1819,58,1,buy,4794.97,4784.09,380.80,-387.34,-1.017,sl 4784.09,0.959
2026.04.06 03:16,1890,56,1,buy,4628.89,4616.87,372.62,-391.98,-1.052,sl 4616.87,0.977
2026.04.08 03:21,2684,59,6,sell,4828.16,4843.80,359.72,719.27,2.000,tp 4796.88,0.830
2026.04.13 03:16,856,60,1,buy,4675.19,4668.80,383.40,765.27,1.996,tp 4687.97,0.897
2026.04.14 03:16,889,60,1,buy,4763.62,4755.88,402.48,-215.62,-0.536,sl 4759.75,0.911
2026.04.15 03:18,831,60,3,sell,4829.40,4835.67,395.01,-399.27,-1.011,sl 4835.67,0.733
2026.04.20 03:16,1047,61,1,buy,4756.39,4749.79,389.40,854.52,2.194,tp 4769.59,0.710
